COUNTRY_ISO_CODE_2,CUSTOMS_OFFICE_NAME,CUSTOMS_PROVINCE_NAME,DECLARATION_DATE,DECLARATION_NUMBER,EXCHANGE_RATE,EXPORTER_ADDRESS_EN,EXPORTER_ADDRESS_VN,EXPORTER_ID,EXPORTER_NAME_EN,EXPORTER_NAME_VN,EXPORTER_PHONE,EXPORTER_POSTAL_CODE,EXPORT_TAX_RATE,FOREIGN_CURRENCY,HS_CODE,HS_CODE_2,HS_CODE_4,IMPORTER_ADDRESS,IMPORTER_COUNTRY,IMPORTER_NAME,INCOTERMS,PAYMENT_METHOD,PRODUCT_DESC_EN,PRODUCT_DESC_VN,QTY,_id,TOTAL_PRICE_IN_FOREIGN_CURRENCY,TOTAL_PRICE_IN_USD,TRANS_TYPE_CODE,TRANS_TYPE_NAME,TYPE_OF_EXPORT,UNIT,UNIT_PRICE_IN_FOREIGN_CURRENCY,UNIT_PRICE_IN_USD,HS_CODE_DESCRIPTION,EXPORTER_NAME_EN_extracted_info,EXPORTER_NAME_EN_manufacturer
UK,HQHANAM,NINH BINH,2025-08-01T00:00:00Z,307631162330,25960.0,DONG VAN II INDUSTRIAL PARK DUY MINH WARD DUY TIEN TOWN HA NAM PROVINCE VIETNAM,"KHU CÔNG NGHIỆP ĐỒNG VĂN II, PHƯỜNG DUY HÀ, TỈNH NINH BÌNH, VIỆT NAM",700819475,GEMTEK VIETNAM CORPORATION LIMITED,CÔNG TY TNHH GEMTEK VIỆT NAM,2263583758,,0.0,USD,85176243,85,8517,NO.15-1 ZHONGHUA RD. HSINCHU INDUSTRIAL PARK HUKOU HSINCHU TAIWAN TW,UNITED KINGDOM,GEMTEK TECHNOLOGY CO LIMITED,FOB,KC,"990-401-0805R#&AMP;ROUTER HARDWIRED DIGITAL BRAND ADTRAN, SDG-8612, DESIGNED TO CONNECT TO THE DATA PROCESSING MACHINE AUTOMATIC, DOES NOT CONTAIN CODE CIVIL, NEW 100%#&AMP;VN","990-401-0805R#&BỘ ĐỊNH TUYẾN HỮU TUYẾN KỸ THUẬT SỐ, NHÃN HIỆU ADTRAN, SDG-8612, ĐƯỢC THIẾT KẾ ĐỂ KẾT NỐI VỚI MÁY XỬ LÝ DỮ LIỆU TỰ ĐỘNG, KHÔNG CHỨA MẬT MÃ DÂN SỰ, MỚI 100%#&VN",1000,ec59d48d-e56b-41de-9648-f90940cf2dde,66810.0,66810.0,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),SET,66.81,66.81,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",Adtran SDG-8612,Adtran
VN,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307630811740,25960.0,PART OF LOT CNSG-04 CNSG-06 VAN TRUNG INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"MỘT PHẦN CÁC LÔ CNSG-04, CNSG-06 KCN VÂN TRUNG, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400853729,CE LINK VIET NAM COMPANY LIMITED,CÔNG TY TNHH CE LINK VIỆT NAM,0204-3900 190- 3071,,0.0,USD,85176249,85,8517,UNIT 1501 15/F. STELUX HOUSE 698 PRINCE EDWARD ROAD EAST SAN PO KONG KOWLOON HONG KONG HK,VIETNAM,CE LINK LIMITED,FOB,KC,"H51154359000939#&AMP;SIGNAL CONVERTERS ANKER ANKER NANO USB-C TO HDMI CABLE (6 FT, 4K, BRAIDED) (H) - UN (EXCLUDED SAT, EUROPE), BLACK 2, P/N: A87E0H12#&AMP;VN","H51154359000939#&BỘ CHUYỂN ĐỔI TÍN HIỆU ANKER ANKER NANO USB-C TO HDMI CABLE (6 FT, 4K, BRAIDED) (H) - UN (EXCLUDED CN, EUROPE) BLACK 2, P/N: A87E0H12#&VN",500,e1df0981-1e99-4acf-bc71-f34a9fc4bbf8,2436.5,2436.5,OTHERS,OTHERS,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,4.873,4.873,OTHER,,
US,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307631966630,25960.0,PLOT B-09 B-10 B-11 B-12 B-13 B-14 LOT CN7 STEEL STRUCTURE FACTORY NO. 33 AT LOT CN8-B04 AN DUONG INDUSTRIAL PARK COMMUNE HONG PHONG,"THỬA ĐẤT B-09 ĐẾN B-14 LÔ ĐẤT CN7, KCN AN DƯƠNG,PHƯỜNG AN PHONG, THÀNH PHỐ HẢI PHÒNG, VIỆT NAM",201937177,LIANYUE VIETNAM COMPANY LIMITED,CÔNG TY TNHH LIANYUE (VIỆT NAM),944618406,,0.0,USD,85176243,85,8517,10 MAUCHLY IRVINE CA 92618 US,UNITED STATES,TP LINK SYSTEMS INC,FOB,OA,"DECO BE25-OUTDOOR(1-PACK)(US) Y256252#&AMP;ROUTERS, MODEL: DECO BE25-OUTDOOR. NEW GOODS 100%#&AMP;VN","DECO BE25-OUTDOOR(1-PACK)(US) Y256252#&BỘ ĐỊNH TUYẾN, MODEL: DECO BE25-OUTDOOR. HÀNG MỚI 100%#&VN",978,a3219be0-605f-439e-ac0d-3f656cdb3048,40919.52,40919.52,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,41.84,41.84,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",TP-Link Deco BE25-Outdoor,TP-Link
US,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307632034900,25960.0,PLOT B-09 B-10 B-11 B-12 B-13 B-14 LOT CN7 STEEL STRUCTURE FACTORY NO. 33 AT LOT CN8-B04 AN DUONG INDUSTRIAL PARK COMMUNE HONG PHONG,"THỬA ĐẤT B-09 ĐẾN B-14 LÔ ĐẤT CN7, KCN AN DƯƠNG,PHƯỜNG AN PHONG, THÀNH PHỐ HẢI PHÒNG, VIỆT NAM",201937177,LIANYUE VIETNAM COMPANY LIMITED,CÔNG TY TNHH LIANYUE (VIỆT NAM),944618406,,0.0,USD,85176243,85,8517,10 MAUCHLY IRVINE CA 92618 US,UNITED STATES,TP LINK SYSTEMS INC,FOB,OA,"TL-PA7017(US) Y256341#&AMP;ADAPTER POWERLINE, MODEL: TL-PA7017. NEW GOODS 100%#&AMP;VN","TL-PA7017(US) Y256341#&BỘ CHUYỂN ĐỔI POWERLINE, MODEL: TL-PA7017. HÀNG MỚI 100%#&VN",1884,835d9fca-2c13-420d-85c9-168834880cfe,18029.88,18029.88,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,9.57,9.57,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",TP-Link TL-PA7017,TP-Link
TW,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631162700,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) TW,"TAIWAN, PROVINCE OF CHINA",CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P75236#&AMP;ROUTER,UCGUR001.FC (UCG-ULTRA)(NETWORK SPEED: 1~2.5 GBPS, SOURCE: 5V/3A)#&AMP;VN","P75236#&BỘ ĐỊNH TUYẾN,UCGUR001.FC (UCG-ULTRA)(TỐC ĐỘ MẠNG: 1~2.5GBPS, NGUỒN: 5V/3A)#&VN",2,6efeeb19-3bb9-4a71-85d5-3feae82b369f,134.0734,134.0734,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,67.0367,67.0367,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
TW,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631162700,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) TW,"TAIWAN, PROVINCE OF CHINA",CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P52995#&AMP;ROUTER,UCGMAX01.FC (UCG-MAX) ( NETWORK SPEED: 1GBPS, POWER SUPPLY: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&AMP;VN","P52995#&BỘ ĐỊNH TUYẾN,UCGMAX01.FC (UCG-MAX) ( TỐC ĐỘ MẠNG: 1GBPS, NGUỒN: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&VN",2,a4ca3a79-1c8b-468a-9a56-4ba49879e672,257.2052,257.2052,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,128.6026,128.6026,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
US,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307632034900,25960.0,PLOT B-09 B-10 B-11 B-12 B-13 B-14 LOT CN7 STEEL STRUCTURE FACTORY NO. 33 AT LOT CN8-B04 AN DUONG INDUSTRIAL PARK COMMUNE HONG PHONG,"THỬA ĐẤT B-09 ĐẾN B-14 LÔ ĐẤT CN7, KCN AN DƯƠNG,PHƯỜNG AN PHONG, THÀNH PHỐ HẢI PHÒNG, VIỆT NAM",201937177,LIANYUE VIETNAM COMPANY LIMITED,CÔNG TY TNHH LIANYUE (VIỆT NAM),944618406,,0.0,USD,85176243,85,8517,10 MAUCHLY IRVINE CA 92618 US,UNITED STATES,TP LINK SYSTEMS INC,FOB,OA,"TL-PA7017(US) Y254168#&AMP;ADAPTER POWERLINE, MODEL: TL-PA7017. NEW GOODS 100%#&AMP;VN","TL-PA7017(US) Y254168#&BỘ CHUYỂN ĐỔI POWERLINE, MODEL: TL-PA7017. HÀNG MỚI 100%#&VN",68,5dd4bea5-dacc-4f89-9f2f-7f71a2d2e6a2,650.76,650.76,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,9.57,9.57,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",TP-Link TL-PA7017,TP-Link
TW,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631182960,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) TW,"TAIWAN, PROVINCE OF CHINA",CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P75236#&AMP;ROUTER,UCGUR001.FC (UCG-ULTRA)(NETWORK SPEED: 1~2.5 GBPS, SOURCE: 5V/3A)#&AMP;VN","P75236#&BỘ ĐỊNH TUYẾN,UCGUR001.FC (UCG-ULTRA)(TỐC ĐỘ MẠNG: 1~2.5GBPS, NGUỒN: 5V/3A)#&VN",2,1dc03bc4-4f71-4361-9a5d-8d04c6f481b6,134.0734,134.0734,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,67.0367,67.0367,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
NL,HQHANAM,NINH BINH,2025-08-01T00:00:00Z,307631106000,25960.0,LOT CN01 DONG VAN INDUSTRIAL PARK III DONG VAN WARD DUY TIEN TOWN HA NAM PROVINCE VIETNAM,"LÔ ĐẤT CN01, KHU CÔNG NGHIỆP ĐỒNG VĂN III, PHƯỜNG ĐỒNG VĂN, TỈNH NINH BÌNH, VIỆT NAM",700837869,NEWEB VIETNAM CO LIMITED,CÔNG TY TNHH NEWEB VIỆT NAM,(886)03.6667799,,0.0,USD,85176251,85,8517,20 PARK AVENUE II HSINCHU SCIENCE PARK HSINCHU 308 TAIWAN HSINCHU 300 TAIWAN TW,NETHERLANDS,WNC CORPORATION,DDP,KC,"81LMD213.G06#&AMP;EQUIPMENT, AMPLIFIER WIFI USER SUPPORT AMPLIFIER WAVES FOR THE ROUTER (INCLUDING MANUALS),BRAND:DEUTSCHE TELEKOM,MODEL:SPEEDPORT 7 WLAN VERSTARKER,E/A:AC 220-240V~50/60HZ,0.3 A. NEW 100%#&AMP;VN","81LMD213.G06#&THIẾT BỊ KHUẾCH ĐẠI SÓNG WIFI DÙNG HỖ TRỢ KHUẾCH ĐẠI SÓNG CHO BỘ ĐỊNH TUYẾN (GỒM:HDSD),HIỆU:DEUTSCHE TELEKOM,MODEL:SPEEDPORT 7 WLAN VERSTARKER,Đ/A:AC 220-240V~50/60HZ,0.3A.MỚI 100%#&VN",2000,bb4f488d-9902-448a-b3be-9dfd37d5baad,88021.46,88021.46,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),SET,44.01073,44.01073,WIRELESS LANS,Deutsche Telekom Speedport 7 WLAN VERSTARKER,Deutsche Telekom
HK,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307630865860,25960.0,LOT CN3A DEEP C 2A INDUSTRIAL PARK BELONGING TO DINH VU-CAT HAI ECONOMIC ZONE DONG HAI 2 WARD HAI AN DISTRICT HAI PHONG CITY VIETNAM,"LÔ ĐẤT CN3A, KCN DEEP C 2A, THUỘC KHU KT ĐÌNH VŨ- CÁT HẢI, PHƯỜNG ĐÔNG HẢI, TP. HẢI PHÒNG, VIỆT NAM",202019370,PEGATRON VIETNAM COMPANY LIMITED,CÔNG TY TNHH PEGATRON VIỆT NAM,25,,0.0,USD,85176249,85,8517,5/F. NO76 LIGONG ST. BEITOU DISTRICT TAIPEI TAIWAN TW,HONG KONG,PEGATRON CORPORATION,FOB,KC,"90BBAV100140#&AMP;SWITCHES#SWITCH#USE A WIRED NETWORK TO CONNECT THE NETWORK, DIFFERENT (THE PRODUCT DOES NOT HAVE FUNCTION SECURITY FLOW IP,SECURITY, CHANNEL). BRAND: CISCO.NEW 100%#&AMP;VN","90BBAV100140#&THIẾT BỊ CHUYỂN MẠCH#SWITCH#SỬ DỤNG MẠNG CÓ DÂY ĐỂ KẾT NỐI CÁC MẠNG CỤC BỘ KHÁC NHAU (SẢN PHẨM KHÔNG CÓ CHỨC NĂNG BẢO MẬT LUỒNG IP,BẢO MẬT KÊNH). HIỆU: CISCO.MỚI 100%#&VN",288,35ac6138-11c5-423c-83aa-d92eb66bef70,16569.4464,16569.4464,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,57.5328,57.5328,OTHER,,
NL,HQHANAM,NINH BINH,2025-08-01T00:00:00Z,307631106000,25960.0,LOT CN01 DONG VAN INDUSTRIAL PARK III DONG VAN WARD DUY TIEN TOWN HA NAM PROVINCE VIETNAM,"LÔ ĐẤT CN01, KHU CÔNG NGHIỆP ĐỒNG VĂN III, PHƯỜNG ĐỒNG VĂN, TỈNH NINH BÌNH, VIỆT NAM",700837869,NEWEB VIETNAM CO LIMITED,CÔNG TY TNHH NEWEB VIỆT NAM,(886)03.6667799,,0.0,USD,85176251,85,8517,20 PARK AVENUE II HSINCHU SCIENCE PARK HSINCHU 308 TAIWAN HSINCHU 300 TAIWAN TW,NETHERLANDS,WNC CORPORATION,DDP,KC,"81LMD1F5.G08#&AMP;EQUIPMENT, AMPLIFIER WIFI USER SUPPORT AMPLIFIER WAVES FOR THE ROUTER (INCLUDING CHARGER,MANUALS ),BRAND:DEUTSCHE TELEKOM,MODEL:SPEEDPORT 7 WLAN VERSTARKER PLUS,12V-1.6 A,19.2 W. NEW 100%#&AMP;VN","81LMD1F5.G08#&THIẾT BỊ KHUẾCH ĐẠI SÓNG WIFI DÙNG HỖ TRỢ KHUẾCH ĐẠI SÓNG CHO BỘ ĐỊNH TUYẾN (GỒM SẠC,HDSD ),HIỆU:DEUTSCHE TELEKOM,MODEL:SPEEDPORT 7 WLAN VERSTARKER PLUS,12V-1.6A,19.2W.MỚI 100%#&VN",9856,3ac9c036-e395-453c-bba1-eb78c9ee05c2,589910.7738,589910.7738,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),SET,59.85296,59.85296,WIRELESS LANS,Deutsche Telekom Speedport 7 WLAN VERSTARKER PLUS,Deutsche Telekom
HK,HQKCXKCNHP,HAI PHONG,2025-08-01T00:00:00Z,307630865860,25960.0,LOT CN3A DEEP C 2A INDUSTRIAL PARK BELONGING TO DINH VU-CAT HAI ECONOMIC ZONE DONG HAI 2 WARD HAI AN DISTRICT HAI PHONG CITY VIETNAM,"LÔ ĐẤT CN3A, KCN DEEP C 2A, THUỘC KHU KT ĐÌNH VŨ- CÁT HẢI, PHƯỜNG ĐÔNG HẢI, TP. HẢI PHÒNG, VIỆT NAM",202019370,PEGATRON VIETNAM COMPANY LIMITED,CÔNG TY TNHH PEGATRON VIỆT NAM,25,,0.0,USD,85176249,85,8517,5/F. NO76 LIGONG ST. BEITOU DISTRICT TAIPEI TAIWAN TW,HONG KONG,PEGATRON CORPORATION,FOB,KC,"90BBAV100130#&AMP;SWITCHES#SWITCH#USE A WIRED NETWORK TO CONNECT THE NETWORK, DIFFERENT (THE PRODUCT DOES NOT HAVE FUNCTION SECURITY FLOW IP,SECURITY, CHANNEL). BRAND: CISCO.NEW 100%#&AMP;VN","90BBAV100130#&THIẾT BỊ CHUYỂN MẠCH#SWITCH#SỬ DỤNG MẠNG CÓ DÂY ĐỂ KẾT NỐI CÁC MẠNG CỤC BỘ KHÁC NHAU (SẢN PHẨM KHÔNG CÓ CHỨC NĂNG BẢO MẬT LUỒNG IP,BẢO MẬT KÊNH). HIỆU: CISCO.MỚI 100%#&VN",288,bec9634e-bc32-4012-9103-5f59faf9909d,25856.64,25856.64,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,89.78,89.78,OTHER,,
TW,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631182960,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) TW,"TAIWAN, PROVINCE OF CHINA",CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P52995#&AMP;ROUTER,UCGMAX01.FC (UCG-MAX) ( NETWORK SPEED: 1GBPS, POWER SUPPLY: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&AMP;VN","P52995#&BỘ ĐỊNH TUYẾN,UCGMAX01.FC (UCG-MAX) ( TỐC ĐỘ MẠNG: 1GBPS, NGUỒN: AC INPUT 110V~240V, 50/60HZ, DC 5V/3A)#&VN",2,fdfcdf79-fa90-4a13-86f4-3691a07b8b62,257.2052,257.2052,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,128.6026,128.6026,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
NL,HQHANAM,NINH BINH,2025-08-01T00:00:00Z,307631438020,25960.0,LOT CN01 DONG VAN INDUSTRIAL PARK III DONG VAN WARD DUY TIEN TOWN HA NAM PROVINCE VIETNAM,"LÔ ĐẤT CN01, KHU CÔNG NGHIỆP ĐỒNG VĂN III, PHƯỜNG ĐỒNG VĂN, TỈNH NINH BÌNH, VIỆT NAM",700837869,NEWEB VIETNAM CO LIMITED,CÔNG TY TNHH NEWEB VIỆT NAM,(886)03.6667799,,0.0,USD,85176251,85,8517,20 PARK AVENUE II HSINCHU SCIENCE PARK HSINCHU 308 TAIWAN HSINCHU 300 TAIWAN TW,NETHERLANDS,WNC CORPORATION,FCA,KC,"81REAQ10.GK1#&AMP;EQUIPMENT TRANSCEIVER WIFI WIRELESS ACCESS POINTS, MODEL :B-Q5BK-5, BRAND: CISCO, VOLTAGE: 42.5-57V, 0.81-1.08 A. NEW 100%.#&AMP;VN","81REAQ10.GK1#&THIẾT BỊ THU PHÁT WIFI WIRELESS ACCESS POINTS, MODEL :B-Q5BK-5, NHÃN HIỆU: CISCO, ĐIỆN ÁP: 42.5-57V, 0.81-1.08A. HÀNG MỚI 100%.#&VN",1440,8da8cc24-7c55-4fef-9a1f-b5c43cad1020,276520.2624,276520.2624,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,192.02796,192.02796,WIRELESS LANS,Cisco B-Q5BK-5,Cisco
US,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631211000,25960.0,LOT E QUANG CHAU INDUSTRIAL PARK QUANG CHAU COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ E, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400801174,LUXSHARE ICT VIETNAM LIMITED,CÔNG TY TNHH LUXSHARE - ICT ( VIỆT NAM ),2413634635,,0.0,USD,85176243,85,8517,SUITE 1621 16/F. OCEAN CENTRE HARBOUR CITY 5 CANTON ROAD TSIM SHA TSUI KOWLOON HK,UNITED STATES,LUXSHARE PRECISION LIMITED,FCA,KC,"QP-01049#&AMP;DEVICES WIRELESS WIFI EERO, LB51BAE005-ISP-1H (ME12010), MODEL ME10001#&AMP;KXĐ","QP-01049#&THIẾT BỊ PHÁT WIFI KHÔNG DÂY EERO, LB51BAE005-ISP-1H (ME12010), MODEL ME10001#&KXĐ",12600,0b1e78b9-b7cb-4e5a-be5a-731477c9f968,672524.37,672524.37,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,53.37495,53.37495,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",Eero ME10001,Eero
UK,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307630878350,25960.0,PART OF LOT CNSG-04 CNSG-06 VAN TRUNG INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"MỘT PHẦN CÁC LÔ CNSG-04, CNSG-06 KCN VÂN TRUNG, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400853729,CE LINK VIET NAM COMPANY LIMITED,CÔNG TY TNHH CE LINK VIỆT NAM,0204 3900 190-3071,,0.0,USD,85176249,85,8517,UNIT 1501 15/F. STELUX HOUSE 698 PRINCE EDWARD ROAD EAST SAN PO KONG KOWLOON HONG KONG HK,UNITED KINGDOM,CE LINK LIMITED,FOB,KC,"D01011-00198#&AMP;SIGNAL CONVERTERS MDP-H MINI DP TO HDMI 32AWG, OD: 4.8 MM, L= 0.15 M, P/N: MDP2HDMI#&AMP;VN","D01011-00198#&BỘ CHUYỂN ĐỔI TÍN HIỆU MDP-H MINI DP TO HDMI 32AWG, OD: 4.8MM, L= 0.15M, P/N: MDP2HDMI#&VN",660,ebd8a908-ca65-417c-b065-3da4b0ede7d0,1037.3418,1037.3418,SEA,SEA,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,1.57173,1.57173,OTHER,,
TW,HQBACGIANG,BAC NINH,2025-08-01T00:00:00Z,307631224260,25960.0,LOT M1 AND LOT F QUANG CHAU INDUSTRIAL PARK VAN TRUNG COMMUNE VIET YEN DISTRICT BAC GIANG PROVINCE VIETNAM,"LÔ M1, LÔ F VÀ LÔ T1, KHU CÔNG NGHIỆP QUANG CHÂU, PHƯỜNG NẾNH, TỈNH BẮC NINH, VIỆT NAM",2400879766,FUYU PRECISION COMPONENT COMPANY LIMITED,CÔNG TY TNHH CÔNG NGHỆ CHÍNH XÁC FUYU,2223856888,,0.0,USD,85176243,85,8517,54 GENTING LANE #03-05 RUBY LAND COMPLEX SINGAPORE(349562) TW,"TAIWAN, PROVINCE OF CHINA",CLOUD NETWORK TECHNOLOGY SINGAPORE PRIVATE LIMITED,FCA,KC,"P75236#&AMP;ROUTER,UCGUR001.FC (UCG-ULTRA)(NETWORK SPEED: 1~2.5 GBPS, SOURCE: 5V/3A)#&AMP;VN","P75236#&BỘ ĐỊNH TUYẾN,UCGUR001.FC (UCG-ULTRA)(TỐC ĐỘ MẠNG: 1~2.5GBPS, NGUỒN: 5V/3A)#&VN",2,93276dfe-7102-412c-a014-bc4e028eeab0,134.0734,134.0734,AIR,AIR,ORDINARY EXPORT (PROCESSING ENTERPRISES),PCE,67.0367,67.0367,"CONTROL AND ADAPTOR UNITS, INCLUDING GATEWAYS, BRIDGES, ROUTERS AND OTHER SIMILAR APPARATUS DESIGNED ONLY FOR CONNECTION WITH AUTOMATIC DATA PROCESSING MACHINES OF HEADING 84.71",,
