DESTINATION_COUNTRY,BUYER_ADDRESS,BUYER_NAME,COUNTRY_ISO_CODE_2,CURRENCY,EXPORTER_ADDRESS,EXPORTER_NAME,EXP_DATE,FOB_VALUE,GROSS_WEIGHT,HS_CODE,INCOTERMS,NET_WEIGHT,PACKAGE_UNIT,PRODUCT_DESCRIPTION,QUANTITY_OF_PACKAGE,_id,HS_CODE_DESCRIPTION,initial_id
JAPAN,"71, SHIBA 5 CHOME, MINATO KU, TOKYO 1088001, JAPAN",NEC CORPORATION,JP,USD,"GLOBAL MARINE SYSTEMS LIMITED, WATERFRONT ROAD, SUBIC BAY FREEPORT ZONE ZAMBALES 2209",GLOBAL MARINE SYSTEMS LIMITED,2025-09-25T00:00:00Z,257625,1503,85176249,DAP,803,NE,1 REPEATER 7FP SPREP04 SERIAL NUMBER B305520,1,09c970e2-22b3-4c22-bc1c-e5a3f99ef963,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,12
"TAIWAN, PROVINCE OF CHINA",,CISCO SYSTEM TAIWAN LIMITED,TW,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-25T00:00:00Z,1823.32,2.5,85176249,CIF,1.5,PK,1 PIECE NETWORK CONVERGENCE SYSTEM 1004 CONTROLLER,1,6d4fec44-9225-4cea-8e9f-9a39f34dead3,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,13
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-25T00:00:00Z,5566.09,304.79,85176299,FOB,277.09,PK,STC MUSICAL INSTRUMENTS,0,e00807f2-8b9b-4e88-85e4-9035231921f2,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",14
MEXICO,,FLEXTRONICS MANUFACTURING MEX S A,MX,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-25T00:00:00Z,1321.2,5,85176251,DAP,4,PK,2 PIECE CISCO CATALYST 9130AX SERIES,1,ecbe723e-1ce6-4f70-a478-63a7b0b028e9,ELPAP11 WIRELESS LAN UNIT,15
HUNGARY,,NOKIA SOLUTIONS AND NETWORKS,HU,USD,"PHILIPPINES, INC./ 18F THE CURVE BLDG. 32ND ST. COR. 3RD AVE.BGC, TAGUIG CITY 1634PHILIPPINES",NOKIA SOLUTIONS AND NETWORKS,2025-09-25T00:00:00Z,689.04,308.25,85176210,DAP,303.75,PK,475000A.303 TELECOMMUNICATION EQUIPMENT SPARE PARTS AHPMDB AIRSCALE RRH 2T4R B8/20/28 240W,1,45cc7094-0ea1-4d57-9a9c-e0c8c05963f1,"POWER SUPPLY-(NOTE:THIS DECLARATION INCLUDES HS-85177029000,85177029000,85176210000,85176210000,85291099000,85177099000,-GOODS DESCRIPTION IS FOR THIS HS CODE. WEIGHT,QUANTITY AND VALUE FIGURES ARE FOR THE DECLARATION.)",16
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-25T00:00:00Z,443,4,85176259,DAP,3,PK,1 PIECE MERAKI MX68W ROUTER/SECURITY APPLIANCE WITH 802.11AC,0,062aef43-f991-4069-93cc-7f4927b5a0c1,SFP COPPER PATCH CBL 10G 5M PASSV W,17
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-25T00:00:00Z,6599.87,368.56,85176299,FOB,335.06,PK,STC MUSICAL INSTRUMENTS,0,b32e6fdb-328b-44f9-bdbd-c58b0ce2d835,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",18
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-25T00:00:00Z,6169.87,345.38,85176299,FOB,313.99,PK,STC MUSICAL INSTRUMENTS,0,3aa650d6-dc75-4012-822a-4a4c4c51eec6,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",19
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-25T00:00:00Z,268.67,4,85176249,DAP,3,PK,"1 PIECE CBS350 MANAGED 24-PORT GE, FULL POE, 4X1G SFP",1,211e2238-0bad-4820-b66d-79d2559513f1,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,20
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-25T00:00:00Z,235592.56,5,85176249,DAP,4,PK,1 PIECE NCS1K4 12X QSFP28 2 TRUNK C-BAND DWDM CARD,1,5f10a47b-23b3-4839-bf81-fa5a7948e65b,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,21
HONG KONG,,HUAWEI TECH INVESTMENT CO LIMITED,HK,USD,"HUAWEI TECHNOLOGIES PHILS INC, 52ND FLOOR, PBCOM TOWER, AYALA AVEN UE COR. V.A. RUFINO ST., SALCEDO VI MAKATI CITY 1227",HUAWEI TECHNOLOGIES PHILS INC,2025-09-24T00:00:00Z,2520.75,19.31,85176259,CIF,9,PE,FULL OUTDOOR MICROWAVE RTN 380AX 81G 3 F81310000ALC 10000MHZ SUB BAND A LOW SITE S 71000MHZ 76000MHZ POE 4 WITHOUT DOC 0.003,2,3bd3d613-0813-421d-912f-fbf3d4912763,SFP COPPER PATCH CBL 10G 5M PASSV W,22
HONG KONG,,HUAWEI TECH INVESTMENT CO LIMITED,HK,USD,"HUAWEI TECHNOLOGIES PHILS INC, 52ND FLOOR, PBCOM TOWER, AYALA AVEN UE COR. V.A. RUFINO ST., SALCEDO VI MAKATI CITY 1227",HUAWEI TECHNOLOGIES PHILS INC,2025-09-24T00:00:00Z,2079.55,21.24,85176249,CIF,15,PE,BLADE OLT -48VDC,1,e806b3ee-3d7a-4a99-b63d-800c08dac4f0,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,23
HONG KONG,,HUAWEI TECH INVESTMENT CO LIMITED,HK,USD,"HUAWEI TECHNOLOGIES PHILS INC, 52ND FLOOR, PBCOM TOWER, AYALA AVEN UE COR. V.A. RUFINO ST., SALCEDO VI MAKATI CITY 1227",HUAWEI TECHNOLOGIES PHILS INC,2025-09-24T00:00:00Z,92.01,6.37,85176249,CIF,5,PE,MULTI-SERVICE ACCESS EQUIPMENT HOST ASSEMBLY COMPONENTS,1,3e29b1df-91b5-4af8-9ad9-cef4d52f819b,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,24
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-24T00:00:00Z,8260.85,503.99,85176299,FOB,458.17,PK,STC MUSICAL INSTRUMENTS,0,50c68ddd-eb5b-4580-b085-0e2edae8b2f9,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",25
HONG KONG,,HUAWEI TECH INVESTMENT CO LIMITED,HK,USD,"HUAWEI TECHNOLOGIES PHILS INC, 52ND FLOOR, PBCOM TOWER, AYALA AVEN UE COR. V.A. RUFINO ST., SALCEDO VI MAKATI CITY 1227",HUAWEI TECHNOLOGIES PHILS INC,2025-09-24T00:00:00Z,136.67,11,85176249,CIF,1.87,PE,S5751-L8P2X-RUA 8 10/100/1000BASE-T PORTS POE+ 210GE SFP+ PORTS 128 W POE WITH 1 220 V AC POWER ADAPTER FANLESS,1,6b932158-c11b-41cd-aac7-4849d6db48b8,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,26
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-23T00:00:00Z,631.27,3,85176251,DAP,2.5,PK,1 PIECE MERAKI MR56 WI-FI 6 INDOOR AP,1,d0256690-e442-446a-9dd6-e8e6a8b10ad9,ELPAP11 WIRELESS LAN UNIT,27
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-23T00:00:00Z,6148.1,347.35,85176299,FOB,315.77,PK,STC MUSICAL INSTRUMENTS,0,1f887361-f0be-4f0e-aff8-92fc38647e55,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",28
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-23T00:00:00Z,7370.31,432.65,85176299,FOB,393.32,PK,STC MUSICAL INSTRUMENTS,0,b5237a6c-90b2-41c4-92b6-efae15ead32b,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",29
"TAIWAN, PROVINCE OF CHINA",,IBM TAIWAN CORPORATION,TW,USD,28F ONE WORLD PLACE 32ND ST. BONIFACIO GLOBAL CITY FORT BONIFACIOTAGUIG CITY 1630PHILIPPINES,IBM PHILIPPINES INCORPORATED,2025-09-23T00:00:00Z,1314.5,6.07,85176243,CPT,5.46,PK,CARD ASM FIBER CHANNEL SWITCH/DIRECTOR SAN F/SERVER PRO 858010799,0,e0d94130-bda2-48a6-bf18-7ed49941fa8c,OTHER,30
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-23T00:00:00Z,7749.54,432.38,85176299,FOB,393.07,PK,STC MUSICAL INSTRUMENTS,0,99c1b22e-7a31-4c2d-9633-002094f91848,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",31
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-23T00:00:00Z,4721.05,266.38,85176299,FOB,242.17,PK,STC MUSICAL INSTRUMENTS,0,57f869ad-a15e-4bd7-8b10-f34da2594e35,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",32
THAILAND,,FABRINET CO LIMITED,TH,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-23T00:00:00Z,54129.64,3.5,85176242,DAP,3,PK,1 PIECE 20-PORT SINGLE MODULE ROADM - SWITCHABLE GAIN FLEX SPECTRUM,1,a773884f-5172-4467-b00f-fbb5c8ff95fd,WDM MULTI CHANNEL MUX DEMUX SELMUX LGX BOXED,33
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-23T00:00:00Z,8093.76,450.49,85176299,FOB,409.54,PK,STC MUSICAL INSTRUMENTS,0,7795077e-1aae-4975-b48e-479cf12e07fb,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",34
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-09-22T00:00:00Z,7290.59,412.36,85176299,FOB,374.87,PK,STC MUSICAL INSTRUMENTS,0,2d058b64-b764-4260-8d79-b19144da291b,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",35
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,4933.58,11.44,85176299,CFR,10.29,PK,TELECOMMUNICATION EQUIPMENT NTK553LB WAVELENGTH SELECTIVE SWITCH WSS FLEX C BAND W OPM 9X1 CIRCUIT PACK,0,d9ccf11b-aad3-4a6e-8073-b242310bbbd6,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",36
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,1468.53,3.4,85176299,CFR,3.06,PK,TELECOMMUNICATION EQUIPMENT NTZF06JA 6500 REL 9.0 SHELF PROCESSOR SP 2 WITH CONTROL PLANE PROCESSOR KIT,0,19a5dc2a-d11a-4b77-9846-62429f9daa2f,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",37
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,13261,30.74,85176299,CFR,27.67,PK,"TELECOMMUNICATION EQUIPMENT NTRP5541401 TEST CARD, 10 LASER SOURCE BULK MODULATOR BASED ON SLIC10 CARD",0,55d7a751-325c-4c22-be5f-bd96d3d76366,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",38
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,4933.58,11.44,85176299,CFR,10.29,PK,TELECOMMUNICATION EQUIPMENT NTK553LA WAVELENGTH SELECTIVE SWITCH WSS FLEX C BAND W OPM 9X1 CIRCUIT PACK,0,e0863c4a-dc6f-469c-9d8a-2c97358fccf1,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",39
VIETNAM,,IBM VIETNAM COMPANY LIMITED,VN,USD,28F ONE WORLD PLACE 32ND ST. BONIFACIO GLOBAL CITY FORT BONIFACIOTAGUIG CITY 1630PHILIPPINES,IBM PHILIPPINES INCORPORATED,2025-09-19T00:00:00Z,863.72,1.62,85176243,CPT,1.46,PK,CARD ASM FIBER CHANNEL SWITCH DIRECTOR SAN F SERVER 855003097,0,69b76918-cd5f-40da-8754-66290bc32075,OTHER,40
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,1891.62,4.39,85176299,CFR,3.95,PK,TELECOMMUNICATION EQUIPMENT NTK552FAE5 MIDSTAGE LINE AMPLIFIER 2 MLA2 C BAND CIRCUIT PACK,0,37fac1d2-5bf3-4b70-b84b-63b601553dcf,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",41
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-19T00:00:00Z,304.49,7,85176249,DAP,5,PK,1 PIECE MERAKI MX68 ROUTER/SECURITY APPLIANCE,0,02937fd4-bf7b-4e87-9f19-407ef2ae492e,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,42
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,6143.83,14.24,85176299,CFR,12.82,PK,TELECOMMUNICATION EQUIPMENT NTK540CE WL5E MOTR SUBMARINE 6 PORT 1X QSFP DD 5X QSFP28 CIRCUIT PACK,0,b43bb334-de35-48a3-8887-1483624a71c2,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",43
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 1870 M.H. DEL PILAR ST., BRGY. 699,076MALATE / MANILA 1004PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-09-19T00:00:00Z,219082.5,21.6,85176249,DAP,18,PK,2 PIECES ASR 9900 48-PORT 10GE &AMP; 1GE DUAL RATE SE LC,1,0361ac04-984d-475b-a4fe-9e937c423dd5,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,44
CANADA,,CIENA CANADA ULC,CA,USD,205 DONA EUSEBIA BUILDING 611 QUIRINO AVENUE SAN DIONISIOPARANAQUE CITY 1700PHILIPPINES,GOBAQ IMPEX CORPORATION,2025-09-19T00:00:00Z,13261,30.74,85176299,CFR,27.67,PK,"TELECOMMUNICATION EQUIPMENT NTRP5541401 TEST CARD, 10 LASER SOURCE BULK MODULATOR BASED ON SLIC10 CARD",0,765ed02f-d186-4cb5-ab01-18965820c1ff,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",45
