product_desc,product_category
013-0405-001#&M RECEIVER 6.0 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0406-001#&M RECEIVER 6.0 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0407-001#&M RECEIVER 6.0 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0408-001#&AMP;M RECEIVER 6.0 3L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,RECEIVER
013-0408-001#&M RECEIVER 6.0 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0409-001#&M RECEIVER 6.0 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0410-001#&AMP;M RECEIVER 6.0 1R (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,RECEIVER
013-0410-001#&M RECEIVER 6.0 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0411-001#&AMP;M RECEIVER 6.0 2R (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,RECEIVER
013-0411-001#&M RECEIVER 6.0 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0412-001#&M RECEIVER 6.0 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0414-001#&P RECEIVER 6.0 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0415-001#&P RECEIVER 6.0 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0416-001#&P RECEIVER 6.0 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0417-001#&P RECEIVER 6.0 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0418-001#&P RECEIVER 6.0 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0419-001#&P RECEIVER 6.0 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
013-0420-001#&P RECEIVER 6.0 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
"013-0436-001#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 0L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN",RECEIVER
"013-0436-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0437-001#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 1L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN",XRECEIVER
"013-0437-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0438-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0439-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0440-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0441-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0442-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0443-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XS 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0445-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0446-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0447-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0448-001#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 3L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN",XRECEIVER
"013-0448-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0449-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0450-001#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 1R (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN",XRECEIVER
"013-0450-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0451-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0452-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XM 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0454-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0455-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0456-001#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 2L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN",XRECEIVER
"013-0456-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0457-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0458-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0459-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0460-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0461-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS5 COMPL XP 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
"013-0464#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",XRECEIVER
013-0464-001#&S RECEIVER 6.0 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,RECEIVER
"013-0465#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN","MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 1L"
013-0465-001#&S RECEIVER 6.0 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 1L
"013-0466#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN","MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 2L"
013-0466-001#&S RECEIVER 6.0 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 2L
"013-0467#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN","MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / XRECEIVER SDS6 COMPL XS 3L"
013-0467-001#&S RECEIVER 6.0 3L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 3L
013-0469-001#&S RECEIVER 6.0 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 0R
013-0470-001#&S RECEIVER 6.0 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 1R
013-0471-001#&S RECEIVER 6.0 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 2R
013-0472-001#&S RECEIVER 6.0 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,S RECEIVER 6.0 3R
013-0586-001#&AMP;HEADSET FOR STATIONARY PHONES; OTHER / POWER XRECEIVER 2XP L (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,HEADSET
013-0587-001#&AMP;HEADSET FOR STATIONARY PHONES; OTHER / POWER XRECEIVER 2XP R (MODULES CONVERT ELECTRICAL SIGNALS FROM THE HEARING AID INTO SOUND)#&AMP;VN,HEADSET
013-0587-001#&HEADSET FOR STATIONARY PHONES; OTHER / POWER XRECEIVER 2XP R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
013-0588-001#&HEADSET FOR STATIONARY PHONES; OTHER / POWER XRECEIVER 3XP L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN,HEADSET
"013-0623-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / S RECEIVER 4.0 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0627-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / S RECEIVER 4.0 0R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0629-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / S RECEIVER 4.0 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0633-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / M RECEIVER 4.0 2L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0636-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / M RECEIVER 4.0 1R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0637-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / M RECEIVER 4.0 2R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0638-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / M RECEIVER 4.0 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0639-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / P RECEIVER 4.0 0L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0640-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / P RECEIVER 4.0 1L (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"013-0646-001#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / P RECEIVER 4.0 3R (MODULE THAT CONVERTS ELECTRICAL SIGNALS FROM HEARING AIDS INTO SOUND)#&VN",RECEIVER
"01AX770#WIRELESS NETWORK CARD WITHOUT BROADCAST (WIRELESS WIRELESS, CMB, IN, 9560 VPRO M2) FOR LENOVO COMPUTERS, 100% NEW#&CN",WIRELESS NETWORK CARD
"04.F010.3631E0-000#&MOBILE TRANSMITTER, MODEL: H500C, BRAND: SONIM, RATED VOLTAGE: 3.85V. 100% NEW#&VN",MOBILE TRANSMITTER
"052-3113-X02P5#&AMP;MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / ROGER X (02) (CHAMPAGNE) (EQUIPMENT FOR SIGNAL ACQUISITION, WIRELESS ACCESSORIES OF HEARING AIDS)#&AMP;VN",WIRELESS ACCESSORIES OF HEARING AIDS
"052-3113-X02P5#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / ROGER X (02) (CHAMPAGNE) (WIRELESS SIGNAL RECEIVER, HEARING AID ACCESSORY)#&VN",WIRELESS SIGNAL RECEIVER
"052-3235-D02P8#&MACH.FOR RECEPT.,CONVERSION,TRANSMISSION / ROGER 17 (02) (WIRELESS SIGNAL RECEIVER, HEARING AID ACCESSORY)#&VN",WIRELESS SIGNAL RECEIVER
